Temp,Cp,Density,Viscosity,Kinematic Viscosity,Thermal Conductivity,Enthalpy
582,1.028437697,1629.3048888889,0.0028855447,1.76866829345866E-06,0.433042596,211265.20210905
583,1.0279895455,1628.7262222222,0.0028807536,1.76633052461591E-06,0.432816663,212293.479730262
584,1.0275414026,1628.1475555556,0.0028759822,0.000001764,0.4325921959,213321.308973119
585,1.0270932684,1627.5688888889,0.0028712303,1.76168620707037E-06,0.4323691925,214348.689837621
586,1.0266451429,1626.9902222222,0.0028664979,1.75937953647919E-06,0.4321476502,215375.622323768
587,1.026197026,1626.4115555556,0.0028617847,1.75708311079206E-06,0.4319275668,216402.10643156
588,1.0257489177,1625.8328888889,0.0028570907,1.75479687012774E-06,0.4317089399,217428.142160998
589,1.0253008182,1625.2542222222,0.0028524158,1.75252075503011E-06,0.4314917671,218453.72951208
590,1.0248527273,1624.6755555556,0.0028477598,1.75025470646824E-06,0.4312760458,219478.868484807
591,1.024404645,1624.0968888889,0.0028431227,0.000001748,0.4310617739,220503.559079179
592,1.0239565714,1623.5182222222,0.0028385042,1.74575257495397E-06,0.4308489486,221527.801295196
593,1.0235085065,1622.9395555556,0.0028339042,1.74351637606564E-06,0.4306375678,222551.595132859
594,1.0230604502,1622.3608888889,0.0028293227,1.74129001184108E-06,0.4304276287,223574.940592166
595,1.0226124026,1621.7822222222,0.0028247596,1.73907342537533E-06,0.4302191291,224597.837673118
596,1.0221643636,1621.2035555556,0.0028202146,1.73686656018844E-06,0.4300120665,225620.286375716
597,1.0217163333,1620.6248888889,0.0028156877,1.73466936022577E-06,0.4298064383,226642.286699958
598,1.0212683117,1620.0462222222,0.0028111788,1.73248176985778E-06,0.429602242,227663.838645845
599,1.0208202987,1619.4675555556,0.0028066878,1.73030373388009E-06,0.4293994752,228684.942213378
600,1.0203722944,1618.8888888889,0.0028022145,1.72813519751356E-06,0.4291981354,229705.597402555
601,1.0199242987,1618.3102222222,0.0027977588,0.000001726,0.4289982201,230725.804213378
602,1.0194763117,1617.7315555556,0.0027933206,1.72382640662306E-06,0.4287997268,231745.562645845
603,1.0190283333,1617.1528888889,0.0027888998,1.72168604466665E-06,0.4286026529,232764.872699958
604,1.0185803636,1616.5742222222,0.0027844963,1.71955496745641E-06,0.428406996,233783.734375716
605,1.0181324026,1615.9955555556,0.00278011,1.71743312233907E-06,0.4282127535,234802.147673118
606,1.0176844502,1615.4168888889,0.0027757408,1.71532045708646E-06,0.4280199229,235820.112592166
607,1.0172365065,1614.8382222222,0.0027713884,1.71321691989568E-06,0.4278285018,236837.629132858
608,1.0167885714,1614.2595555556,0.002767053,1.71112245938893E-06,0.4276384875,237854.697295196
609,1.016340645,1613.6808888889,0.0027627343,0.000001709,0.4274498777,238871.317079179
610,1.0158927273,1613.1022222222,0.0027584322,0.000001707,0.4272626698,239887.488484806
611,1.0154448182,1612.5235555556,0.0027541466,1.7048930305726E-06,0.4270768613,240903.211512079
612,1.0149969177,1611.9448888889,0.0027498774,1.70283437152765E-06,0.4268924496,241918.486160997
613,1.014549026,1611.3662222222,0.0027456245,1.70078453865547E-06,0.4267094324,242933.31243156
614,1.0141011429,1610.7875555556,0.0027413879,1.6987434831293E-06,0.4265278071,243947.690323768
615,1.0136532684,1610.2088888889,0.0027371673,1.69671115654761E-06,0.4263475712,244961.61983762
616,1.0132054026,1609.6302222222,0.0027329628,1.69468751093399E-06,0.4261687223,245975.100973118
617,1.0127575455,1609.0515555556,0.0027287741,1.69267249873727E-06,0.4259912579,246988.133730261
618,1.012309697,1608.4728888889,0.0027246012,1.6906660728314E-06,0.4258151755,248000.718109049
619,1.0118618571,1607.8942222222,0.002720444,1.68866818651553E-06,0.4256404728,249012.854109482
620,1.011414026,1607.3155555556,0.0027163024,1.68667879351398E-06,0.4254671471,250024.54173156
621,1.0109662035,1606.7368888889,0.0027121762,1.68469784797624E-06,0.4252951962,251035.780975283
622,1.0105183896,1606.1582222222,0.0027080655,1.68272530447697E-06,0.4251246176,252046.571840651
623,1.0100705844,1605.5795555556,0.0027039701,1.68076111801604E-06,0.4249554089,253056.914327664
624,1.0096227879,1605.0008888889,0.0026998898,1.67880524401844E-06,0.4247875677,254066.808436322
625,1.009175,1604.4222222222,0.0026958247,1.67685763833439E-06,0.4246210916,255076.254166626
626,1.0087272208,1603.8435555556,0.0026917745,1.67491825723921E-06,0.4244559783,256085.251518574
627,1.0082794502,1603.2648888889,0.0026877392,0.000001673,0.4242922254,257093.800492167
628,1.0078316883,1602.6862222222,0.0026837188,1.67106399604292E-06,0.4241298306,258101.901087405
629,1.0073839351,1602.1075555556,0.0026797131,1.66914903061839E-06,0.4239687915,259109.553304288
630,1.0069361905,1601.5288888889,0.002675722,1.66724211913601E-06,0.423809106,260116.757142817
631,1.0064884545,1600.9502222222,0.0026717454,1.66534321999696E-06,0.4236507716,261123.51260299
632,1.0060407273,1600.3715555556,0.0026677833,1.6634522920277E-06,0.4234937861,262129.819684808
633,1.0055930087,1599.7928888889,0.0026638355,1.6615692944798E-06,0.4233381473,263135.678388272
634,1.0051452987,1599.2142222222,0.002659902,1.65969418703002E-06,0.423183853,264141.08871338
635,1.0046975974,1598.6355555556,0.0026559826,1.65782692978032E-06,0.4230309009,265146.050660133
636,1.0042499048,1598.0568888889,0.0026520774,0.000001656,0.4228792889,266150.564228532
