,#1,,,,,,,,,,
,double data(8760,11),,,,,,,,,
266,957600,0,0,0,6.5,-5.1,41,949,1.2,270,-9900
267,961200,0,0,0,6.1,-6.1,41,948,0,0,-9900
268,964800,0,0,0,6.1,-5.2,42,948,0.9,300,-9900
269,968400,0,0,0,6.1,-4.6,44,948,1.7,310,-9900
270,972000,2,0,1,6.1,-5,45,949,2.6,320,-9900
271,975600,62,3,30,8.1,-3.9,41,949,3.3,320,-9900
272,979200,220,325,46,10.2,-3.7,36,950,3.9,310,-9900
273,982800,404,654,53,12.2,-3.9,32,951,4.6,310,-9900
274,986400,504,869,62,14.4,-3,29,950,3.9,290,-9900
275,990000,582,887,66,16.7,-2.5,26,949,3.3,260,-9900
276,993600,576,944,66,18.9,-2.8,23,948,2.6,240,-9900
277,997200,505,942,61,19.1,-2.2,23,948,1.7,240,-9900
278,1000800,374,917,51,19.2,-2.1,23,948,0.9,240,-9900
279,1004400,206,847,37,19.4,-2.2,23,948,0,0,-9900
280,1008000,50,710,19,17,-1.9,27,948,0.9,230,-9900
281,1011600,0,318,0,14.6,-2.1,31,949,1.7,230,-9900
282,1015200,0,0,0,12.2,-2.8,35,949,2.6,230,-9900
283,1018800,0,0,0,11.1,-2.7,37,949,2.8,250,-9900
284,1022400,0,0,0,10,-2.9,39,949,2.9,260,-9900
285,1026000,0,0,0,8.9,-3.9,41,949,3.1,280,-9900
286,1029600,0,0,0,8.3,-3.4,42,949,3.6,280,-9900
287,1033200,0,0,0,7.8,-3.5,43,949,4.1,280,-9900
288,1036800,0,0,0,7.2,-4.4,44,949,4.6,280,-9900
289,1040400,0,0,0,6.7,-3.6,46,950,4.4,280,-9900
290,1044000,0,0,0,6.1,-3.9,47,950,4.3,280,-9900
291,1047600,0,0,0,5.6,-4.4,49,950,4.1,280,-9900
292,1051200,0,0,0,5.6,-3.8,49,950,4.5,280,-9900
293,1054800,0,0,0,5.6,-3.8,49,951,4.8,270,-9900
294,1058400,2,0,2,5.6,-4.4,49,951,5.2,270,-9900
295,1062000,55,1,36,7.6,-3.4,44,951,5.4,280,-9900
296,1065600,222,191,84,9.7,-2.9,40,952,5.5,290,-9900
297,1069200,409,517,113,11.7,-3.3,35,952,5.7,300,-9900
298,1072800,544,731,134,14.1,-2.4,31,951,5,300,-9900
299,1076400,554,819,118,16.5,-2.2,27,951,4.3,290,-9900
300,1080000,554,794,111,18.9,-2.8,23,950,3.6,290,-9900
301,1083600,474,815,100,19.8,-2.2,22,950,3.4,290,-9900
302,1087200,379,766,67,20.8,-2.6,20,949,3.3,290,-9900
303,1090800,211,812,43,21.7,-2.8,19,949,3.1,290,-9900
304,1094400,53,694,21,19.1,-2.2,23,950,3.1,290,-9900
305,1098000,0,325,0,16.5,-2.2,27,950,3.1,290,-9900
306,1101600,0,0,0,13.9,-2.8,31,950,3.1,290,-9900
307,1105200,0,0,0,12.8,-2.3,34,951,3.3,290,-9900
308,1108800,0,0,0,11.7,-2.5,36,951,3.4,300,-9900
309,1112400,0,0,0,10.6,-2.8,39,951,3.6,300,-9900
310,1116000,0,0,0,10.4,-2.3,40,951,4.1,300,-9900
311,1119600,0,0,0,10.2,-1.9,42,952,4.7,290,-9900
312,1123200,0,0,0,10,-2.2,43,952,5.2,290,-9900
313,1126800,0,0,0,8.9,-1.8,46,952,4.8,290,-9900
314,1130400,0,0,0,7.8,-2.2,48,952,4.5,280,-9900
315,1134000,0,0,0,6.7,-2.8,51,952,4.1,280,-9900
316,1137600,0,0,0,6.5,-2.3,52,953,4.5,290,-9900
317,1141200,0,0,0,6.3,-2,54,954,4.8,310,-9900
318,1144800,1,0,1,6.1,-2.2,55,955,5.2,320,-9900
319,1148400,57,1,32,8.3,-1.6,49,955,5.2,310,-9900
320,1152000,224,249,64,10.6,-1,44,956,5.2,290,-9900
321,1155600,390,593,88,12.8,-1.1,38,956,5.2,280,-9900
322,1159200,521,744,129,15.4,-0.3,34,955,4.7,290,-9900
323,1162800,556,780,151,18,0.2,30,954,4.1,290,-9900
324,1166400,550,735,181,20.6,0.6,26,953,3.6,300,-9900
325,1170000,487,676,162,21,0.2,25,953,2.4,300,-9900
326,1173600,370,661,108,21.3,-0.1,24,953,1.2,300,-9900
327,1177200,198,675,67,21.7,-0.6,23,954,0,0,-9900
328,1180800,42,535,31,18.4,-0.4,28,954,0,0,-9900
329,1184400,0,114,0,15,-1,33,955,0,0,-9900
330,1188000,0,0,0,11.7,-2.2,38,955,0,0,-9900
331,1191600,0,0,0,10.8,-2,40,956,0.9,290,-9900
332,1195200,0,0,0,9.8,-2.2,42,956,1.7,290,-9900
333,1198800,0,0,0,8.9,-2.8,44,956,2.6,290,-9900
334,1202400,0,0,0,9.1,-1.9,45,956,3.1,280,-9900
335,1206000,0,0,0,9.2,-1.9,45,956,3.6,280,-9900
336,1209600,0,0,0,9.4,-1.7,46,956,4.1,270,-9900
337,1213200,0,0,0,8.9,-1.8,46,956,4.1,270,-9900
338,1216800,0,0,0,8.3,-2.1,47,956,4.1,260,-9900
339,1220400,0,0,0,7.8,-2.8,47,956,4.1,260,-9900
340,1224000,0,0,0,7.2,-2.5,49,957,4.8,260,-9900
341,1227600,0,0,0,6.7,-2.4,51,957,5.5,270,-9900
342,1231200,2,0,1,6.1,-2.8,53,957,6.2,270,-9900
343,1234800,60,2,29,8.3,-1.8,48,957,5.9,280,-9900
344,1238400,223,307,64,10.6,-1.6,42,958,5.5,280,-9900
345,1242000,403,592,62,12.8,-1.7,37,958,5.2,290,-9900
346,1245600,523,836,73,15.2,-0.8,33,957,5,280,-9900
347,1249200,581,891,73,17.6,-0.6,29,956,4.8,280,-9900
348,1252800,578,921,72,20,-0.6,25,955,4.6,270,-9900
349,1256400,511,922,67,20.6,-0.6,24,954,3.9,270,-9900
350,1260000,383,899,56,21.1,-0.7,23,954,3.3,280,-9900
351,1263600,214,837,41,21.7,-1.1,22,953,2.6,280,-9900
352,1267200,53,697,22,18.5,-1.7,25,953,1.7,280,-9900
353,1270800,0,320,0,15.4,-2.7,28,953,0.9,280,-9900
354,1274400,0,0,0,12.2,-4.4,31,953,0,0,-9900
355,1278000,0,0,0,10.5,-3.8,35,953,0.9,270,-9900
356,1281600,0,0,0,8.9,-3.5,40,953,1.7,270,-9900
